0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
I-34-10029,2024-03-12 07:30:24.596000+00:00,6,0.26,5.74,0.75,0,2024-03-12 07:30:24.596000+00:00,CA,0,0,0,417,,34,80,,,FALSE,,,0,FALSE,,
I-34-10030,2024-03-12 07:31:46.739000+00:00,5,4,1,0.13,0,2024-03-12 07:31:46.739000+00:00,CA,0,0,0,417,,34,80,,,FALSE,,,0,FALSE,,
I-34-10031,2024-03-12 07:32:48.570000+00:00,5,4,1,0.13,0,2024-03-12 07:32:48.570000+00:00,CA,0,0,0,417,,34,80,,,FALSE,,,0,FALSE,,
I-34-10032,2024-03-12 08:10:18.369000+00:00,5,1.5,3.5,0.46,0,2024-03-12 08:10:18.369000+00:00,CA,0,0,0,417,,34,80,,,FALSE,,,0,FALSE,,
I-34-10033,2024-03-12 09:04:52.617000+00:00,2,0,2,0.26,0,2024-03-12 09:04:52.617000+00:00,CA,0,0,0,417,,34,80,,,FALSE,,,0,FALSE,,
I-34-10034,2024-03-12 20:45:45.763000+00:00,2,1,1,0.13,0,2024-03-12 20:45:45.763000+00:00,CA,0,0,0,417,,34,80,,,FALSE,,,0,FALSE,,
I-34-10035,2024-03-12 20:46:09.873000+00:00,5,4,1,0.13,0,2024-03-12 20:46:09.873000+00:00,CA,0,0,0,417,,34,80,,,FALSE,,,0,FALSE,,
I-34-10036,2024-03-12 20:59:45.891000+00:00,5,2,3,0.39,0,2024-03-12 20:59:45.891000+00:00,CA,0,0,0,417,,34,80,,,FALSE,,,0,FALSE,,
I-34-10037,2024-03-12 22:21:20.896000+00:00,14.5,0,14.5,1.89,0,2024-03-12 22:21:20.896000+00:00,CR,0,0,0,417,,34,80,,,FALSE,,,0,FALSE,,
I-34-10038,2024-03-12 22:22:50.680000+00:00,1,0,1,0.13,0,2024-03-12 22:22:50.680000+00:00,CA,0,0,0,417,,34,80,,,FALSE,,,0,FALSE,,
I-34-10039,2024-03-12 22:44:10.378000+00:00,1,0,1,0.13,0,2024-03-12 22:44:10.378000+00:00,CA,0,0,0,417,,34,80,,,FALSE,,,0,FALSE,,
I-34-10040,2024-03-12 22:45:28.228000+00:00,1,0,1,0.13,0,2024-03-12 22:45:28.228000+00:00,CA,0,0,0,417,,34,80,,,FALSE,,,0,FALSE,,
I-34-10041,2024-03-12 22:45:48.742000+00:00,1,0,1,0.13,0,2024-03-12 22:45:48.742000+00:00,CA,0,0,0,417,,34,80,,,FALSE,,,0,FALSE,,
I-34-10042,2024-03-12 22:47:20.355000+00:00,5,0,5,0.65,0,2024-03-12 22:47:20.355000+00:00,CR,0,0,0,417,,34,80,,,FALSE,,,0,FALSE,,
I-34-10043,2024-03-12 23:05:46.766000+00:00,2,0,2,0.26,0,2024-03-12 23:05:46.766000+00:00,CA,0,0,0,417,,34,80,,,FALSE,,,0,FALSE,,
I-34-10044,2024-03-12 23:22:02.510000+00:00,20,17,3,0.39,0,2024-03-12 23:22:02.510000+00:00,CA,0,0,0,417,,34,80,,,FALSE,,,0,FALSE,,
I-34-10045,2024-03-12 23:29:09.523000+00:00,1,0,1,0.13,0,2024-03-12 23:29:09.523000+00:00,CA,0,0,0,417,,34,80,,,FALSE,,,0,FALSE,,
I-34-10046,2024-03-13 00:19:11.467000+00:00,11,0,11,1.43,0,2024-03-13 00:19:11.467000+00:00,CA,0,0,0,417,,34,80,,,FALSE,,,0,FALSE,,
I-34-10047,2024-03-13 00:20:12.189000+00:00,7,0,7,0.91,0,2024-03-13 00:20:12.189000+00:00,CA,0,0,0,417,,34,80,,,FALSE,,,0,FALSE,,
I-34-10048,2024-03-13 00:22:06.412000+00:00,1,0,1,0.13,0,2024-03-13 00:22:06.412000+00:00,CA,0,0,0,417,,34,80,,,FALSE,,,0,FALSE,,
I-34-10049,2024-03-13 00:22:31.600000+00:00,1,0,1,0.13,0,2024-03-13 00:22:31.600000+00:00,CA,0,0,0,417,,34,80,,,FALSE,,,0,FALSE,,
I-34-10050,2024-03-13 00:23:07.758000+00:00,2,0,2,0.26,0,2024-03-13 00:23:07.758000+00:00,CA,0,0,0,417,,34,80,,,FALSE,,,0,FALSE,,
I-34-10051,2024-03-13 00:24:23.370000+00:00,2,0,2,0.26,0,2024-03-13 00:24:23.370000+00:00,CA,0,0,0,417,,34,80,,,FALSE,,,0,FALSE,,
I-34-10052,2024-03-13 00:33:08.298000+00:00,3.5,0,3.5,0.46,0,2024-03-13 00:33:08.298000+00:00,CA,0,0,0,417,,34,80,,,FALSE,,,0,FALSE,,
I-34-10053,2024-03-13 00:36:15.967000+00:00,20,2,18,2.35,0,2024-03-13 00:36:15.967000+00:00,CA,0,0,0,417,,34,80,,,FALSE,,,0,FALSE,,
I-34-10086,2024-03-13 19:42:33.747000+00:00,28,0,28,3.65,0,2024-03-13 19:42:33.747000+00:00,CA,0,0,0,423,,34,80,,,FALSE,,,0,FALSE,,
I-34-10054,2024-03-13 00:40:13.139000+00:00,2.55,0.05,2.5,0.33,0,2024-03-13 00:40:13.139000+00:00,CA,0,0,0,417,,34,80,,,FALSE,,,0,FALSE,,
I-34-10055,2024-03-13 02:08:55.603000+00:00,1,0.5,0.5,0.07,0,2024-03-13 02:08:55.603000+00:00,CA,0,0,0,417,,34,80,,,FALSE,,,0,FALSE,,
I-34-10057,2024-03-13 10:22:44.561000+00:00,3,1,2,0.26,0,2024-03-13 10:22:44.561000+00:00,CA,0,0,0,417,,34,80,,,FALSE,,,0,FALSE,,
I-34-10058,2024-03-13 11:07:55.378000+00:00,5,4,1,0.13,0,2024-03-13 11:07:55.378000+00:00,CA,0,0,0,417,,34,80,,,FALSE,,,0,FALSE,,
